"","coln","2.5 %","97.5 %","blank.1","2.5 %","97.5 %","blank.2","2.5 %","97.5 %","blank.3"
"(Intercept)",1,-4.3636716535386,4.09632660425169,"",-7.43134808408854,1.62562040198234,"",-9.303971491493,0.937897629977043,""
"fafh.q42",2,-1.50633050225531,1.77579561193695,"",-1.78678088291221,1.50113050841645,"",-2.46505371266657,1.49538091225873,""
"fafh.q43",3,-1.64910953416429,1.70229621733143,"",-2.22027509916895,1.22370307195078,"",-2.79624914968752,1.15499976257347,""
"fafh.q44",4,-1.93700912199153,1.41130084276388,"",-2.24674357475527,1.12848940148942,"",-2.42205384225029,1.33458462513375,""
"Gender2",5,-1.03286493569668,0.814528886025045,"",-0.601360107245825,1.36633977876376,"",-0.620031770911522,1.53337171437331,""
"Age",6,-0.0499026018183076,0.0221799208832771,"",-0.0285017427835255,0.047478288352994,"",-0.0198188226417343,0.064282930820912,""
"Race2",7,-0.393017432062624,0.962814520284228,"",-0.630204824522846,0.824468172328666,"",-0.599838509979571,1.06383545541526,""
"HHSize2",8,-0.391446140916363,0.527185677426076,"",-0.614972521489943,0.33294873920806,"",-0.842002558452047,0.202596935944296,""
"IncPovRat2",9,-1.2936115383731,1.32744206387455,"",-1.1684676171249,1.61672203305916,"",-2.07165837707936,1.36540169933159,""
"EDU",10,-0.463002145345249,0.483124647963284,"",0.0111007438446044,1.07283999745851,"",-0.202010245346613,0.935916058667129,""
"MartitalStat_cat",11,-0.524040101350525,0.327830726883983,"",-0.620559770352057,0.294871064096714,"",-0.440690280550135,0.545313606069458,""
"FoodAsstP2",12,-1.45301689870856,1.03023119457319,"",-1.09976956495187,1.50813087470326,"",-2.3331664162344,0.989016129749511,""
"SmokStatFormer",13,-0.479073625381836,1.92569627149378,"",-0.153793673533981,2.42457930557485,"",0.750487741715353,4.16840610483554,""
"SmokStatNever",14,-0.266974438436163,1.91621746653771,"",0.064796310359285,2.42992753747857,"",0.530996302033536,3.8401243994544,""
"ALCUSE2",15,-1.38360451677206,0.461190172031791,"",-1.04270057236526,0.891327643483175,"",-1.30095934908654,0.816616332126604,""
