"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",386.213165219995,268.920679350005,1.43616015753601,0.155114877486881
"factor(foodsec_bin)1",-76.4686287663311,29.4291217651482,-2.59839995826481,0.0112700831801652
"Gender2",-151.419138725493,119.760102196908,-1.26435378684407,0.210018206290246
"Age",-0.854387984929069,1.35563080561442,-0.630251231670581,0.530445860498694
"Race2",24.2132354929974,15.4904929186327,1.56310297033043,0.122238327713972
"HHSize2",-17.9242617935597,47.2780527367587,-0.379124366508089,0.705666760034175
"IncPovRat2",-94.1887820406951,36.7639229566905,-2.56198943055271,0.012413844297797
"EDU",68.5090891807039,33.9100095650228,2.0203205501708,0.0469213023603609
"MartitalStat_cat",-51.4845220984548,18.0156233215467,-2.85777079036056,0.00551903820443506
"FoodAsstP2",-13.1028737986556,69.8649302382278,-0.187545793776319,0.851739184382309
"SmokStatCurrent",40.7657159759174,67.562425858743,0.603378511913542,0.548077398772532
"SmokStatFormer",72.8350889526883,89.3906232555092,0.814795627327718,0.417769105159592
"SmokStatNever",171.523053983902,77.9486227369767,2.20046291982188,0.0308527105558111
"ALCUSE2",-10.2038929181431,37.9799182173184,-0.268665478944877,0.788924766167905
