"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.44901628822065,0.226072341452763,6.40952484018669,1.16110006496522e-08
"factor(foodsec_bin)1",0.0418325548085994,0.0881771078460348,0.474415138242488,0.636582310091402
"Gender2",-0.139978908878166,0.0677017913416575,-2.0675805780642,0.0421292814600876
"Age",-0.00890654940493594,0.00197235097470117,-4.5157020830359,2.30361364459634e-05
"Race2",-0.00142946377580713,0.0315255916901223,-0.0453429642132621,0.963954455952377
"HHSize2",0.0440649809663727,0.0276523471299842,1.59353492704393,0.115246226350838
"IncPovRat2",-0.117874487907019,0.0807910162691504,-1.45900489126572,0.148739367786892
"EDU",0.0638795885534086,0.0346319720713114,1.84452645150766,0.0690550937498879
"MartitalStat_cat",0.0494281252790185,0.0279256039716011,1.76999306189704,0.0807925098547428
"FoodAsstP2",-0.25991169227142,0.0821631282703963,-3.16336168963843,0.00225244513524947
"SmokStatCurrent",-0.713564681741599,0.152616190203237,-4.67555035144931,1.26722300680911e-05
"SmokStatFormer",-0.476264184982175,0.139333994060288,-3.41814779798893,0.00102210562558221
"SmokStatNever",-0.546517366488319,0.147166286339693,-3.71360438644782,0.000390577393173675
"ALCUSE2",-0.103886881753802,0.0588321919984886,-1.76581694859288,0.0814963420484798
