"","coln","2.5 %","97.5 %","blank.1","2.5 %","97.5 %","blank.2","2.5 %","97.5 %","blank.3"
"(Intercept)",1,0.0229036042385555,33.3970703561208,"",0.00111168445601846,2.70999229368502,"",0.000185454731423675,1.25435291326027,""
"fafh.q42",2,0.278464997090624,4.70108659601467,"",0.210369208094172,3.56888443725942,"",0.111856799030127,3.38676410280604,""
"fafh.q43",3,0.242645251772682,4.34838099637687,"",0.137923696485221,2.67650551937361,"",0.0803277341207142,2.41285330068855,""
"fafh.q44",4,0.181882464116197,3.25074246820675,"",0.133664117421342,2.44473215271985,"",0.115195391923737,2.92633627860301,""
"Gender2",5,0.404691197018378,1.98608065418926,"",0.628273382903709,3.41980554610568,"",0.624634758665932,3.98966501079476,""
"Age",6,0.956095385227278,1.01732090237896,"",0.97704224070495,1.04310328840471,"",0.986118182874523,1.06018240090611,""
"Race2",7,0.741658892601987,2.38365644450037,"",0.589064478912445,2.06140189453176,"",0.616104136226902,2.58121164165667,""
"HHSize2",8,0.720625802797234,1.58946369758476,"",0.57744518813236,1.30618060553574,"",0.463259130777023,1.13887644706018,""
"IncPovRat2",9,0.329195431226367,3.1450814332168,"",0.377120618943216,4.15006229675389,"",0.159935330230352,3.08552293845241,""
"EDU",10,0.67215324051928,1.51807582973182,"",1.08859948445382,2.71598702706653,"",0.884317298663657,2.35593829323625,""
"MartitalStat_cat",11,0.628233724510954,1.30826760317101,"",0.572957343596865,1.26026970565726,"",0.689225538914141,1.61102330139079,""
"FoodAsstP2",12,0.277800795199837,2.35724354040399,"",0.399142047673742,3.77036913490596,"",0.122180017857354,2.13500001825529,""
"SmokStatFormer",13,0.732243862571457,5.80737496308697,"",1.02553009308271,9.44422521731117,"",2.6859440069658,50.974265189515,""
"SmokStatNever",14,0.891213436436934,5.8402750966843,"",1.25713687802345,9.63464661890621,"",2.14000458745667,36.9807518773334,""
"ALCUSE2",15,0.284972026769246,1.39540605227887,"",0.40321253762317,2.13204314433799,"",0.31544655128776,1.95361894691188,""
