"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",41.4852362224404,6.80310639986104,6.09798433011246,4.30722242649723e-08
"factor(foodsec_bin)1",-6.02667277872114,1.88529514644634,-3.19667336442309,0.00203576667725233
"Gender2",-1.3817408680013,2.17361324880751,-0.635688464246963,0.526914480386508
"Age",-0.0462896410812649,0.0615339533875385,-0.752261776351903,0.454248155882982
"Race2",0.155589402444443,0.882304330690096,0.176344371247445,0.860498712905755
"HHSize2",-0.187167044077278,0.848671489947286,-0.220541218002862,0.826048928530033
"IncPovRat2",-4.19285086718896,2.62503229112875,-1.59725687236634,0.114413532962055
"EDU",1.69639802210877,0.946414431537226,1.79244733129584,0.0770939320864018
"MartitalStat_cat",-0.567857140274152,0.828918967440724,-0.685057481586413,0.495419484820574
"FoodAsstP2",-6.63182746937158,3.60958078824499,-1.8372846760956,0.0701290510686747
"SmokStatCurrent",-15.0818260593269,3.47021910047438,-4.34607315061613,4.29459688792984e-05
"SmokStatFormer",-9.06484679218883,3.76632348013154,-2.40681578202418,0.0185536762055335
"SmokStatNever",-8.02175427101262,3.80191891892204,-2.10992250021129,0.0382007466612279
"ALCUSE2",-0.649257149231413,1.77587392297181,-0.365598672762153,0.71569368410049
